person_name,gender
Michael Showalter,Male
Wes Ball,Male
David Leitch,Male
Luca Guadagnino,Male
Lee Isaac Chung,Male
Will Gluck,Male
Guy Ritchie,Male
Denis Villeneuve,Male
George Miller,Male
Gil Kenan,Male
David Dobkin,Male
John Krasinski,Male
Francis Ford Coppola,Male
Cameron Cairnes,Male
Matt Reeves,Male
Adam Wingard,Male
Yorgos Lanthimos,Male
George Lucas,Male
Rupert Wyatt,Male
Christopher Nolan,Male
Tim Burton,Male
Sean Durkin,Male
Sam Taylor-Johnson,Male
David Ayer,Male
Doug Liman,Male
James Gunn,Male
Matthew Vaughn,Male
Jade Halley Bartlett,Female
Zach Cregger,Male
Alexander Payne,Male
Mark Dindal,Male
Zack Snyder,Male
Rupert Sanders,Male
Mike Mitchell,Male
Jonathan Glazer,Male
Chris Renaud,Male
Franklin J. Schaffner,Male
Greta Gerwig,Female
James Cameron,Male
Olivia Newman,Female
Richard L. Ramsey,Male
Elizabeth Allen Rosenbaum,Female
Michael Sarnoski,Male
Simon Cellan Jones,Male
Ti West,Male
Matthew López,Male
Frank Darabont,Male
Moritz Mohr,Male
Jan de Bont,Male
S.J. Clarkson,Male
Renny Harlin,Female
Emerald Fennell,Female
Todd Haynes,Male
William Eubank,Male
Chris Buck,Male
Antoine Fuqua,Male
Wim Wenders,Male
Peter Jackson,Male
Gaspar Noé,Male
Joseph Kosinski,Male
Andrew Haigh,Male
Martin Scorsese,Male
Arkasha Stevenson,Male
Ridley Scott,Male
Paul King,Male
Juan Carlos Fresnadillo,Male
Barry Jenkins,Male
Kenji Kamiyama,Male
Quentin Tarantino,Male
Tyler Nilson,Male
Benjamin Renner,Male
Chris Columbus,Male
Fede Alvarez,Female
Anthony Minghella,Male
Scott Derrickson,Male
Jason Reitman,Male
Ivan Reitman,Male
Sam Esmail,Male
Randal Kleiser,Male
Yimou Zhang,Male
Gene Stupnitsky,Male
Francis Lawrence,Male
Frank Coraci,Male
Steven Spielberg,Male
Matt Shakman,Male
M. Night Shyamalan,Male
Stephen Sommers,Male
Lana Wachowski,Female
Robert Zemeckis,Male
Chris Pine,Male
Jeff Nichols,Male
Richard Linklater,Male
Paul Verhoeven,Male
Emma Seligman,Female
Kelsey Mann,Female
Wolfgang Petersen,Male
Eli Roth,Female
Danny Philippou,Male
David Lynch,Male
Rowdy Herrington,Male
Tim Miller,Male
Gary Ross,Male
Kristoffer Borgli,Male
Cord Jefferson,Male
Vidhu Vinod Chopra,Male
David Fincher,Male
Justin Baldoni,Male
Alex Proyas,Male
William Oldroyd,Male
Samantha Jayne,Female
J.J. Abrams,Male
Christopher McQuarrie,Male
Alejandro Monteverde,Male
Brian De Palma,Male
Jérémie Périn,Male
Thea Sharrock,Female
John Hughes,Male
Celine Song,Female
Sandeep Reddy Vanga,Male
Richard Marquand,Male
Irvin Kershner,Male
Mike Judge,Male
Chad Stahelski,Male
Erik Bloomquist,Male
Daniel Kwan,Male
Jonathan Demme,Male
Ari Aster,Male
Joaquim Dos Santos,Male
James Wan,Male
Ruben Östlund,Male
Sam Mendes,Male
Gus Van Sant,Male
Zelda Williams,Female
Reinaldo Marcus Green,Male
Julio Quintana,Male
Gil Junger,Male
Richard Donner,Male
Michael Mohan,Male
Colin Trevorrow,Male
Jeff Fowler,Male
Jim Jarmusch,Male
Todd Phillips,Male
Jon Watts,Male
Anthony Russo,Male
Johnny Mack,Male
George Clooney,Male
James Hawes,Male
Michael Mann,Male
Jared Hess,Male
Robert Eggers,Male
Nick Cassavetes,Male
Ethan Coen,Male
Herbert Ross,Male
James Mangold,Male
Jon Gunn,Male
Damien Chazelle,Male
Joel Coen,Male
Bryan Singer,Male
Simon McQuoid,Male
