movie_id,title,metascore,rating,budget_millions,gross_millions,year,director_gender,cast_gender
1,The Idea of You,67.0,6.4,,,2023.0,Male,Majority Female
2,Kingdom of the Planet of the Apes,66.0,7.3,,,2023.0,Male,Majority Male
3,The Fall Guy,73.0,7.3,,,2023.0,Male,Balanced
4,Challengers,82.0,7.7,,,2023.0,Male,Majority Male
5,Twisters,,,200.0,,2023.0,Male,Balanced
6,Anyone But You,52.0,6.1,,,2023.0,Male,Balanced
7,The Ministry of Ungentlemanly Warfare,57.0,7.0,,,2023.0,Male,Majority Male
8,Dune: Part Two,79.0,8.7,,,2023.0,Male,Majority Male
9,Furiosa: A Mad Max Saga,83.0,8.3,168.0,,2023.0,Male,Balanced
10,Ghostbusters: Frozen Empire,46.0,6.2,,,2023.0,Male,Majority Male
11,The Judge,48.0,7.4,50.0,84.419,2023.0,Male,Majority Male
12,IF,,6.8,,,2023.0,Male,Majority Male
13,Megalopolis,,,100.0,,2023.0,Male,Majority Male
14,Late Night with the Devil,72.0,7.1,,,2023.0,Male,Majority Male
15,War for the Planet of the Apes,82.0,7.4,150.0,490.72,2023.0,Male,Majority Male
16,Godzilla x Kong: The New Empire,47.0,6.4,,,2023.0,Male,Balanced
17,Poor Things,88.0,7.9,,,2023.0,Male,Majority Male
18,Bullet Train,49.0,7.3,85.9,239.269,2023.0,Male,Majority Male
19,Star Wars: Episode I - The Phantom Menace,51.0,6.5,115.0,1027.08,2023.0,Male,Majority Male
20,Rise of the Planet of the Apes,68.0,7.6,93.0,481.801,2023.0,Male,Balanced
21,Oppenheimer,90.0,8.3,100.0,950.554,2023.0,Male,Majority Male
22,Planet of the Apes,50.0,5.7,100.0,362.212,2023.0,Male,Majority Male
23,Planet of the Apes,50.0,5.7,5.8,32.599,2023.0,Male,Majority Male
24,Dawn of the Planet of the Apes,79.0,7.6,170.0,710.645,2023.0,Male,Majority Male
25,The Iron Claw,73.0,7.7,20.4,,2023.0,Male,Majority Male
26,Back to Black,49.0,6.6,,,2023.0,Male,Majority Male
27,The Beekeeper,54.0,6.4,,,2023.0,Male,Majority Male
28,Road House,57.0,6.2,,,2023.0,Male,Majority Male
29,Road House,57.0,6.2,17.0,30.05,2023.0,Male,Majority Male
30,Superman,,,55.0,300.478,2023.0,Male,Majority Female
31,Argylle,35.0,5.7,200.0,,2023.0,Male,Majority Male
32,Miller's Girl,41.0,5.2,,,2023.0,Female,Majority Male
33,Dune,74.0,8.0,165.0,402.028,2023.0,Male,Majority Male
34,Dune,74.0,8.0,40.0,30.98,2023.0,Male,Majority Male
35,Barbarian,78.0,7.0,4.5,45.352,2023.0,Male,Majority Male
36,The Holdovers,82.0,7.9,,13.736,2023.0,Male,Majority Male
37,Mad Max: Fury Road,90.0,8.1,150.0,380.418,2023.0,Male,Balanced
38,The Garfield Movie,,6.1,,,2023.0,Male,Majority Male
39,Rebel Moon - Part Two: The Scargiver,36.0,5.2,83.0,,2023.0,Male,Majority Male
40,The Gentlemen,51.0,7.8,22.0,115.172,2023.0,Male,Majority Male
41,The Crow,,,23.0,50.695,2023.0,Male,Majority Male
42,The Crow,,,50.0,,2023.0,Male,Majority Male
43,Kung Fu Panda 4,54.0,6.3,,,2023.0,Male,Balanced
44,The Zone of Interest,92.0,7.4,,,2023.0,Male,Majority Male
45,Despicable Me 4,,,,,2023.0,Male,Majority Male
46,The Godfather,100.0,9.2,6.0,250.342,2023.0,Male,Majority Male
47,Planet of the Apes,79.0,8.0,100.0,362.212,2023.0,Male,Majority Male
48,Planet of the Apes,79.0,8.0,5.8,32.599,2023.0,Male,Majority Male
49,Barbie,80.0,6.8,100.0,1441.79,2023.0,Female,Balanced
50,Titanic,75.0,7.9,200.0,2264.74,2023.0,Male,Balanced
51,Where the Crawdads Sing,43.0,7.2,24.0,144.354,2023.0,Female,Majority Male
52,Unsung Hero,46.0,7.8,,,2023.0,Male,Majority Male
53,Purple Hearts,30.0,6.7,,,2023.0,Female,Majority Male
54,A Quiet Place: Day One,,,,,2023.0,Male,Majority Male
55,Arthur the King,54.0,7.0,,,2023.0,Male,Majority Female
56,X,80.0,6.5,1.0,14.741,2023.0,Male,Majority Female
57,X,80.0,6.5,,,2023.0,Male,Majority Female
58,"Red, White & Royal Blue",62.0,7.0,,,2023.0,Male,Balanced
59,The Shawshank Redemption,82.0,9.3,25.0,28.885,2023.0,Male,Majority Male
60,Boy Kills World,47.0,6.7,,,2023.0,Male,Balanced
61,Twister,68.0,6.5,92.0,494.581,2023.0,Male,Balanced
62,Madame Web,26.0,3.9,,,2023.0,Male,Balanced
63,The Strangers: Chapter 1,,6.4,,,2023.0,Female,Majority Female
64,Interstellar,74.0,8.7,165.0,729.059,2023.0,Male,Majority Female
65,Saltburn,61.0,7.0,,7.546,2023.0,Female,Majority Male
66,Dark Waters,73.0,7.6,,23.108,2023.0,Male,Majority Male
67,Land of Bad,57.0,6.5,25.0,,2023.0,Male,Majority Male
68,Wish,47.0,5.6,200.0,51.276,2023.0,Male,Majority Female
69,The Equalizer 3,58.0,6.8,70.0,190.687,2023.0,Male,Majority Male
